Name,Filter,Product,Type,Operator,Value
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267,Conductor,Services,Starts With,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267,Conductor,Time Layers,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267,Conductor,Time Schedules,Starts With,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267,storm Contact,Agent Groups,Starts With,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267,storm Contact,Agents,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267,storm Contact,Queues,Starts With,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267,UC,Treatments,Starts With,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267,UC,User Groups,All,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_EMPLOYBUSINESS1267,UC,Users,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAIL1557,Conductor,Actions,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAIL1557,Conductor,Parameters,ALL,N\A
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAIL1557,Conductor,Services,Starts With,AZBN_BRU_PNC_UW_RETAIL1557_
AZBN_BRU_CCCBROKER,AZBN_BRU_PNC_UW_RETAIL1557,Conductor,Time Layers,ALL,N\A
